Session;Date;Treatment;Protocol;Stage;Trial;ID;Latency;Reason;Mode;Scoring;Force;TargetForce;RampDuration;CutoffTime;LegacyMode;TouchPause;TouchForce;TimeThreshold
3137;07/02/2025 09:19:54;CCD;AMN;PRE;C;DW368;1.8;Detection;Ramp;Auto;19.20;60.00;6;5;OFF;1.2;0.3;0.0
3138;07/02/2025 09:20:12;CCD;AMN;PRE;C;DW368;5.1;Detection;Ramp;Auto;51.04;60.00;6;5;OFF;1.2;0.3;0.0
3139;07/02/2025 09:20:29;CCD;AMN;PRE;C;DW368;6.2;Detection;Ramp;Auto;60.00;60.00;6;5;OFF;1.2;0.3;0.0
3140;07/02/2025 09:20:39;CCD;AMN;PRE;C;DW368;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3141;07/02/2025 09:20:47;CCD;AMN;PRE;C;DW368;5.3;Detection;Ramp;Auto;54.03;60.00;6;5;OFF;1.2;0.3;0.0
3142;07/02/2025 09:20:59;CCD;AMN;PRE;C;DW368;5.5;Detection;Ramp;Auto;55.36;60.00;6;5;OFF;1.2;0.3;0.0
3143;07/02/2025 09:21:14;CCD;AMN;PRE;C;DW368;5.6;Detection;Ramp;Auto;55.03;60.00;6;5;OFF;1.2;0.3;0.0
3144;07/02/2025 09:21:26;CCD;AMN;PRE;C;DW368;5.3;Detection;Ramp;Auto;53.03;60.00;6;5;OFF;1.2;0.3;0.0
3145;07/02/2025 09:21:38;CCD;AMN;PRE;C;DW368;3.2;Detection;Ramp;Auto;32.14;60.00;6;5;OFF;1.2;0.3;0.0
3146;07/02/2025 09:21:53;CCD;AMN;PRE;C;DW368;2.9;Detection;Ramp;Auto;29.49;60.00;6;5;OFF;1.2;0.3;0.0
3147;07/02/2025 09:22:00;CCD;AMN;PRE;C;DW368;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3148;07/02/2025 09:22:08;CCD;AMN;PRE;C;DW368;5.2;Detection;Ramp;Auto;50.71;60.00;6;5;OFF;1.2;0.3;0.0
3149;07/02/2025 09:22:19;CCD;AMN;PRE;C;DW368;3.5;Detection;Ramp;Auto;36.12;60.00;6;5;OFF;1.2;0.3;0.0
3150;07/02/2025 09:22:37;CCD;AMN;PRE;C;DW368;5.8;Detection;Ramp;Auto;56.68;60.00;6;5;OFF;1.2;0.3;0.0
3151;07/02/2025 09:22:58;CCD;AMN;PRE;I;DW368;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3152;07/02/2025 09:23:07;CCD;AMN;PRE;I;DW368;4.2;Detection;Ramp;Auto;41.76;60.00;6;5;OFF;1.2;0.3;0.0
3153;07/02/2025 09:23:16;CCD;AMN;PRE;I;DW368;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3154;07/02/2025 09:23:21;CCD;AMN;PRE;I;DW368;2.6;Detection;Ramp;Auto;26.17;60.00;6;5;OFF;1.2;0.3;0.0
3155;07/02/2025 09:23:35;CCD;AMN;PRE;I;DW368;4.8;Detection;Ramp;Auto;48.39;60.00;6;5;OFF;1.2;0.3;0.0
3156;07/02/2025 09:23:43;CCD;AMN;PRE;I;DW368;1.5;Detection;Ramp;Auto;15.89;60.00;6;5;OFF;1.2;0.3;0.0
3157;07/02/2025 09:23:53;CCD;AMN;PRE;I;DW368;1.3;Detection;Ramp;Auto;13.90;60.00;6;5;OFF;1.2;0.3;0.0
3158;07/02/2025 09:24:28;CCD;AMN;PRE;I;DW368;3.6;Detection;Ramp;Auto;36.45;60.00;6;5;OFF;1.2;0.3;0.0
