"Session","Date","Treatment","Protocol","Stage","DayNumber","Trial","ID","Latency","Reason","Scoring","Force"
1,"2024-03-12 16:21:00","CCD","AMN","PRE",0,"C","DW 239",0.9,"Detection","Auto",33.81
2,"2024-03-12 16:22:00","CCD","AMN","PRE",0,"C","DW 239",0.1,"Detection","Auto",5.09
3,"2024-03-12 16:22:00","CCD","AMN","PRE",0,"C","DW 239",0.8,"Detection","Auto",31.31
4,"2024-03-12 16:22:00","CCD","AMN","PRE",0,"I","DW 239",0.5,"Detection","Auto",21.32
5,"2024-03-12 16:23:00","CCD","AMN","PRE",0,"I","DW 239",2.6,"Detection","Auto",75
6,"2024-03-12 16:23:00","CCD","AMN","PRE",0,"I","DW 239",0.5,"Detection","Auto",21.32
7,"2024-03-12 16:24:00","CCD","AMN","PRE",0,"I","DW 239",0.8,"Detection","Auto",30.06
8,"2024-03-15 16:46:00","CCD","AMN","POST",3,"I","DW 239",0.3,"Detection","Auto",12.58
9,"2024-03-15 16:46:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",10.09
10,"2024-03-15 16:46:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",10.09
11,"2024-03-15 16:46:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",10.09
12,"2024-03-15 16:47:00","CCD","AMN","POST",3,"I","DW 239",0.1,"Detection","Auto",7.59
13,"2024-03-15 16:47:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",7.59
14,"2024-03-15 16:47:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",8.84
15,"2024-03-15 16:47:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",10.09
16,"2024-03-15 16:49:00","CCD","AMN","POST",3,"C","DW 239",1,"Detection","Auto",37.55
17,"2024-03-15 16:49:00","CCD","AMN","POST",3,"C","DW 239",1.4,"Detection","Auto",53.78
18,"2024-03-15 16:50:00","CCD","AMN","POST",3,"C","DW 239",18,"Screen Button","Auto",75
19,"2024-03-15 16:50:00","CCD","AMN","POST",3,"C","DW 239",0.2,"Detection","Auto",10.09
20,"2024-03-15 16:50:00","CCD","AMN","POST",3,"C","DW 239",1.1,"Detection","Auto",40.05
21,"2024-03-15 16:51:00","CCD","AMN","POST",3,"I","DW 239",0.3,"Detection","Auto",11.34
22,"2024-03-15 16:51:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",8.84
23,"2024-03-15 16:51:00","CCD","AMN","POST",3,"I","DW 239",0.4,"Detection","Auto",17.58
24,"2024-03-15 16:51:00","CCD","AMN","POST",3,"I","DW 239",0.5,"Detection","Auto",18.83
25,"2024-03-15 16:52:00","CCD","AMN","POST",3,"C","DW 239",1.2,"Detection","Auto",43.79
26,"2024-03-15 16:53:00","CCD","AMN","POST",3,"C","DW 239",0.9,"Detection","Auto",35.05
27,"2024-03-15 16:53:00","CCD","AMN","POST",3,"C","DW 239",0.7,"Detection","Auto",27.56
28,"2024-03-15 16:53:00","CCD","AMN","POST",3,"C","DW 239",0.8,"Detection","Auto",30.06
29,"2024-03-15 16:53:00","CCD","AMN","POST",3,"C","DW 239",0.7,"Detection","Auto",27.56
30,"2024-03-15 16:53:00","CCD","AMN","POST",3,"I","DW 239",0.4,"Detection","Auto",17.58
31,"2024-03-15 16:54:00","CCD","AMN","POST",3,"I","DW 239",0.3,"Detection","Auto",13.83
32,"2024-03-15 16:54:00","CCD","AMN","POST",3,"I","DW 239",0.3,"Detection","Auto",13.83
33,"2024-03-15 16:55:00","CCD","AMN","POST",3,"I","DW 239",0.3,"Detection","Auto",13.83
34,"2024-03-15 16:57:00","CCD","AMN","POST",3,"I","DW 239",0.4,"Detection","Auto",16.33
35,"2024-03-15 16:57:00","CCD","AMN","POST",3,"I","DW 239",0.3,"Detection","Auto",13.83
36,"2024-03-19 19:33:00","CCD","AMN","POST",7,"I","DW 239",0.9,"Detection","Auto",21.05
37,"2024-03-19 19:33:00","CCD","AMN","POST",7,"I","DW 239",0.9,"Detection","Auto",21.05
38,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.8,"Detection","Auto",18.81
39,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.7,"Detection","Auto",15.81
40,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.9,"Detection","Auto",21.8
41,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.5,"Detection","Auto",12.07
42,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.5,"Detection","Auto",12.07
43,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.5,"Detection","Auto",12.07
44,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.6,"Detection","Auto",13.57
45,"2024-03-19 19:38:00","CCD","AMN","POST",7,"I","DW 239",0.6,"Detection","Auto",14.32
46,"2024-03-19 19:38:00","CCD","AMN","POST",7,"I","DW 239",0.6,"Detection","Auto",15.07
47,"2024-03-19 19:39:00","CCD","AMN","POST",7,"C","DW 239",3.8,"Detection","Auto",45
48,"2024-03-19 19:40:00","CCD","AMN","POST",7,"C","DW 239",12.2,"Detection","Auto",45
49,"2024-03-19 19:40:00","CCD","AMN","POST",7,"C","DW 239",3.2,"Detection","Auto",45
50,"2024-03-19 19:41:00","CCD","AMN","POST",7,"C","DW 239",32,"Cutoff","Auto",45
51,"2024-03-19 19:41:00","CCD","AMN","POST",7,"C","DW 239",3.8,"Detection","Auto",45
52,"2024-03-19 19:42:00","CCD","AMN","POST",7,"C","DW 239",4.3,"Detection","Auto",45
53,"2024-03-25 22:02:00","CCD","AMN","POST",13,"I","DW 239",0.4,"Detection","Auto",9.08
54,"2024-03-25 22:03:00","CCD","AMN","POST",13,"I","DW 239",0.9,"Detection","Auto",21.8
55,"2024-03-25 22:03:00","CCD","AMN","POST",13,"I","DW 239",0.3,"Detection","Auto",8.33
56,"2024-03-25 22:03:00","CCD","AMN","POST",13,"I","DW 239",0.2,"Detection","Auto",6.09
