,Session,Date,Treatment,Protocol,Stage,Trial,ID,Latency,Reason,Mode,Scoring,Force,TargetForce,RampDuration,CutoffTime,LegacyMode,TouchPause,TouchForce,TimeThreshold,Inconsistent
34,3171,07/02/2025 10:41:59,CCD,AMN,PRE,I,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
80,3217,07/03/2025 14:02:02,CCD,AMN,POST,TEST,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
81,3218,07/03/2025 14:02:36,CCD,AMN,POST,TEST,DW369,0.2,Manual Stop,Ramp,Auto,2.29,60.0,6,5,OFF,1.2,0.3,0.0,True
85,3222,07/03/2025 14:03:31,CCD,AMN,POST,TEST,DW369,0.3,Manual Stop,Ramp,Auto,2.62,60.0,6,5,OFF,1.2,0.3,0.0,True
98,3235,07/03/2025 14:05:29,CCD,AMN,POST,TEST,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
103,3240,07/03/2025 14:06:17,CCD,AMN,POST,TEST,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
105,3242,07/03/2025 14:07:35,CCD,AMN,POST,TEST,DW369,10.4,Manual Stop,Ramp,Auto,60.0,60.0,6,5,OFF,1.2,0.3,0.0,True
110,3247,07/03/2025 14:08:43,CCD,AMN,POST,TEST,DW369,0.2,Manual Stop,Ramp,Auto,2.29,60.0,6,5,OFF,1.2,0.3,0.0,True
112,3249,07/03/2025 14:09:00,CCD,AMN,POST,TEST,DW369,0.1,Manual Stop,Ramp,Auto,1.29,60.0,6,5,OFF,1.2,0.3,0.0,True
115,3252,07/03/2025 14:10:22,CCD,AMN,POST,TEST,DW369,0.4,Manual Stop,Ramp,Auto,3.62,60.0,6,5,OFF,1.2,0.3,0.0,True
126,3263,07/03/2025 14:13:39,CCD,AMN,POST,TEST,DW369,0.2,Manual Stop,Ramp,Auto,2.29,60.0,6,5,OFF,1.2,0.3,0.0,True
134,3271,07/03/2025 14:18:22,CCD,AMN,POST,TEST,DW369,0.2,Manual Stop,Ramp,Auto,2.29,60.0,6,5,OFF,1.2,0.3,0.0,True
137,3274,07/03/2025 14:19:06,CCD,AMN,POST,TEST,DW369,0.1,Manual Stop,Ramp,Auto,1.29,60.0,6,5,OFF,1.2,0.3,0.0,True
148,3285,07/03/2025 14:29:08,CCD,AMN,POST,C,DW369,0.3,Manual Stop,Ramp,Auto,2.95,60.0,6,5,OFF,1.2,0.3,0.0,True
244,3381,07/07/2025 16:18:20,CCD,AMN,POST,I,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
269,3406,07/07/2025 16:31:53,CCD,AMN,POST,I,DW369,0.0,Detection,Ramp,Auto,0.63,60.0,6,5,OFF,1.2,0.3,0.0,True
336,3473,07/10/2025 12:38:28,CCD,AMN,POST,I,DW369,0.4,Manual Stop,Ramp,Auto,3.62,60.0,6,5,OFF,1.2,0.3,0.0,True
339,3476,07/15/2025 14:48:07,CCD,AMN,POST,I,DW368,0.2,Manual Stop,Ramp,Auto,2.29,60.0,6,5,OFF,1.2,0.3,0.0,True
340,3477,07/15/2025 14:48:10,CCD,AMN,POST,I,DW368,0.2,Manual Stop,Ramp,Auto,2.29,60.0,6,5,OFF,1.2,0.3,0.0,True
364,3501,07/15/2025 14:57:18,CCD,AMN,POST,I,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
369,3506,07/15/2025 14:58:26,CCD,AMN,POST,I,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
396,3533,07/15/2025 15:06:25,CCD,AMN,POST,I,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
438,3575,07/15/2025 15:17:35,CCD,AMN,POST,I,DW368,0.1,Manual Stop,Ramp,Auto,0.96,60.0,6,5,OFF,1.2,0.3,0.0,True
596,3733,07/16/2025 14:02:46,CCD,AMN,POST,C,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
603,3740,07/16/2025 14:05:33,CCD,AMN,POST,C,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
637,3774,07/16/2025 14:23:17,CCD,AMN,POST,I,DW368,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
701,3838,07/16/2025 14:43:48,CCD,AMN,POST,I,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
712,3849,07/22/2025 09:06:19,CCD,AMN,POST,I,DW369,0.0,Detection,Ramp,Auto,0.96,60.0,6,5,OFF,1.2,0.3,0.0,True
762,3899,07/22/2025 09:20:52,CCD,AMN,POST,C,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True
