Session,Date,Treatment,Protocol,Stage,dayspost,Trial,ID,Latency,Reason,Mode,Scoring,Force,TargetForce,RampDuration,CutoffTime,LegacyMode,TouchPause,TouchForce,TimeThreshold
1,3/12/2024 16:21,CCD,AMN,BASELINE,0,C,DW 239,0.9,Detection,Ramp,Auto,33.81,75,2,30,OFF,1.2,0.1,0
2,3/12/2024 16:22,CCD,AMN,BASELINE,0,C,DW 239,0.1,Detection,Ramp,Auto,5.09,75,2,30,OFF,1.2,0.1,0
3,3/12/2024 16:22,CCD,AMN,BASELINE,0,C,DW 239,0.8,Detection,Ramp,Auto,31.31,75,2,30,OFF,1.2,0.1,0
4,3/12/2024 16:22,CCD,AMN,BASELINE,0,I,DW 239,0.5,Detection,Ramp,Auto,21.32,75,2,30,OFF,1.2,0.1,0
5,3/12/2024 16:23,CCD,AMN,BASELINE,0,I,DW 239,2.6,Detection,Ramp,Auto,75,75,2,30,OFF,1.2,0.1,0
6,3/12/2024 16:23,CCD,AMN,BASELINE,0,I,DW 239,0.5,Detection,Ramp,Auto,21.32,75,2,30,OFF,1.2,0.1,0
7,3/12/2024 16:24,CCD,AMN,BASELINE,0,I,DW 239,0.8,Detection,Ramp,Auto,30.06,75,2,30,OFF,1.2,0.1,0
8,3/15/2024 16:46,CCD,AMN,3 DAY POST,3,I,DW 239,0.3,Detection,Ramp,Auto,12.58,75,2,30,OFF,1.2,0.1,0
9,3/15/2024 16:46,CCD,AMN,3 DAY POST,3,I,DW 239,0.2,Detection,Ramp,Auto,10.09,75,2,30,OFF,1.2,0.1,0
10,3/15/2024 16:46,CCD,AMN,3 DAY POST,3,I,DW 239,0.2,Detection,Ramp,Auto,10.09,75,2,30,OFF,1.2,0.1,0
11,3/15/2024 16:46,CCD,AMN,3 DAY POST,3,I,DW 239,0.2,Detection,Ramp,Auto,10.09,75,2,30,OFF,1.2,0.1,0
12,3/15/2024 16:47,CCD,AMN,3 DAY POST,3,I,DW 239,0.1,Detection,Ramp,Auto,7.59,75,2,30,OFF,1.2,0.1,0
13,3/15/2024 16:47,CCD,AMN,3 DAY POST,3,I,DW 239,0.2,Detection,Ramp,Auto,7.59,75,2,30,OFF,1.2,0.1,0
14,3/15/2024 16:47,CCD,AMN,3 DAY POST,3,I,DW 239,0.2,Detection,Ramp,Auto,8.84,75,2,30,OFF,1.2,0.1,0
15,3/15/2024 16:47,CCD,AMN,3 DAY POST,3,I,DW 239,0.2,Detection,Ramp,Auto,10.09,75,2,30,OFF,1.2,0.1,0
16,3/15/2024 16:49,CCD,AMN,3 DAY POST,3,C,DW 239,1,Detection,Ramp,Auto,37.55,75,2,30,OFF,1.2,0.1,0
17,3/15/2024 16:49,CCD,AMN,3 DAY POST,3,C,DW 239,1.4,Detection,Ramp,Auto,53.78,75,2,30,OFF,1.2,0.1,0
18,3/15/2024 16:50,CCD,AMN,3 DAY POST,3,C,DW 239,18,Screen Button,Ramp,Auto,75,75,2,30,OFF,1.2,0.1,0
19,3/15/2024 16:50,CCD,AMN,3 DAY POST,3,C,DW 239,0.2,Detection,Ramp,Auto,10.09,75,2,30,OFF,1.2,0.1,0
20,3/15/2024 16:50,CCD,AMN,3 DAY POST,3,C,DW 239,1.1,Detection,Ramp,Auto,40.05,75,2,30,OFF,1.2,0.1,0
21,3/15/2024 16:51,CCD,AMN,3 DAY POST,3,I,DW 239,0.3,Detection,Ramp,Auto,11.34,75,2,30,OFF,1.2,0.1,0
22,3/15/2024 16:51,CCD,AMN,3 DAY POST,3,I,DW 239,0.2,Detection,Ramp,Auto,8.84,75,2,30,OFF,1.2,0.1,0
23,3/15/2024 16:51,CCD,AMN,3 DAY POST,3,I,DW 239,0.4,Detection,Ramp,Auto,17.58,75,2,30,OFF,1.2,0.1,0
24,3/15/2024 16:51,CCD,AMN,3 DAY POST,3,I,DW 239,0.5,Detection,Ramp,Auto,18.83,75,2,30,OFF,1.2,0.1,0
25,3/15/2024 16:52,CCD,AMN,3 DAY POST,3,C,DW 239,1.2,Detection,Ramp,Auto,43.79,75,2,30,OFF,1.2,0.1,0
26,3/15/2024 16:53,CCD,AMN,3 DAY POST,3,C,DW 239,0.9,Detection,Ramp,Auto,35.05,75,2,30,OFF,1.2,0.1,0
27,3/15/2024 16:53,CCD,AMN,3 DAY POST,3,C,DW 239,0.7,Detection,Ramp,Auto,27.56,75,2,30,OFF,1.2,0.1,0
28,3/15/2024 16:53,CCD,AMN,3 DAY POST,3,C,DW 239,0.8,Detection,Ramp,Auto,30.06,75,2,30,OFF,1.2,0.1,0
29,3/15/2024 16:53,CCD,AMN,3 DAY POST,3,C,DW 239,0.7,Detection,Ramp,Auto,27.56,75,2,30,OFF,1.2,0.1,0
30,3/15/2024 16:53,CCD,AMN,3 DAY IPSI,3,I,DW 239,0.4,Detection,Ramp,Auto,17.58,75,2,30,OFF,1.2,0.1,0
31,3/15/2024 16:54,CCD,AMN,3 DAY IPSI,3,I,DW 239,0.3,Detection,Ramp,Auto,13.83,75,2,30,OFF,1.2,0.1,0
32,3/15/2024 16:54,CCD,AMN,3 DAY IPSI,3,I,DW 239,0.3,Detection,Ramp,Auto,13.83,75,2,30,OFF,1.2,0.1,0
33,3/15/2024 16:55,CCD,AMN,3 DAY IPSI,3,I,DW 239,0.3,Detection,Ramp,Auto,13.83,75,2,30,OFF,1.2,0.1,0
34,3/15/2024 16:57,CCD,AMN,3 DAY IPSI,3,I,DW 239,0.4,Detection,Ramp,Auto,16.33,75,2,30,OFF,1.2,0.1,0
35,3/15/2024 16:57,CCD,AMN,3 DAY IPSI,3,I,DW 239,0.3,Detection,Ramp,Auto,13.83,75,2,30,OFF,1.2,0.1,0
36,3/19/2024 19:33,CCD,AMN,7 DAY,7,I,DW 239,0.9,Detection,Ramp,Auto,21.05,45,2,30,OFF,1.2,0.1,0
37,3/19/2024 19:33,CCD,AMN,7 DAY,7,I,DW 239,0.9,Detection,Ramp,Auto,21.05,45,2,30,OFF,1.2,0.1,0
38,3/19/2024 19:37,CCD,AMN,7 DAY,7,I,DW 239,0.8,Detection,Ramp,Auto,18.81,45,2,30,OFF,1.2,0.1,0
39,3/19/2024 19:37,CCD,AMN,7 DAY,7,I,DW 239,0.7,Detection,Ramp,Auto,15.81,45,2,30,OFF,1.2,0.1,0
40,3/19/2024 19:37,CCD,AMN,7 DAY,7,I,DW 239,0.9,Detection,Ramp,Auto,21.8,45,2,30,OFF,1.2,0.1,0
41,3/19/2024 19:37,CCD,AMN,7 DAY,7,I,DW 239,0.5,Detection,Ramp,Auto,12.07,45,2,30,OFF,1.2,0.1,0
42,3/19/2024 19:37,CCD,AMN,7 DAY,7,I,DW 239,0.5,Detection,Ramp,Auto,12.07,45,2,30,OFF,1.2,0.1,0
43,3/19/2024 19:37,CCD,AMN,7 DAY,7,I,DW 239,0.5,Detection,Ramp,Auto,12.07,45,2,30,OFF,1.2,0.1,0
44,3/19/2024 19:37,CCD,AMN,7 DAY,7,I,DW 239,0.6,Detection,Ramp,Auto,13.57,45,2,30,OFF,1.2,0.1,0
45,3/19/2024 19:38,CCD,AMN,7 DAY,7,I,DW 239,0.6,Detection,Ramp,Auto,14.32,45,2,30,OFF,1.2,0.1,0
46,3/19/2024 19:38,CCD,AMN,7 DAY,7,I,DW 239,0.6,Detection,Ramp,Auto,15.07,45,2,30,OFF,1.2,0.1,0
47,3/19/2024 19:39,CCD,AMN,7 DAY,7,C,DW 239,3.8,Detection,Ramp,Auto,45,45,2,30,OFF,1.2,0.1,0
48,3/19/2024 19:40,CCD,AMN,7 DAY,7,C,DW 239,12.2,Detection,Ramp,Auto,45,45,2,30,OFF,1.2,0.1,0
49,3/19/2024 19:40,CCD,AMN,7 DAY,7,C,DW 239,3.2,Detection,Ramp,Auto,45,45,2,30,OFF,1.2,0.1,0
50,3/19/2024 19:41,CCD,AMN,7 DAY,7,C,DW 239,32,Cutoff,Ramp,Auto,45,45,2,30,OFF,1.2,0.1,0
51,3/19/2024 19:41,CCD,AMN,7 DAY,7,C,DW 239,3.8,Detection,Ramp,Auto,45,45,2,30,OFF,1.2,0.1,0
52,3/19/2024 19:42,CCD,AMN,7 DAY,7,C,DW 239,4.3,Detection,Ramp,Auto,45,45,2,30,OFF,1.2,0.1,0
53,3/25/2024 22:02,CCD,AMN,DAY  13,13,I,DW 239,0.4,Detection,Ramp,Auto,9.08,45,2,30,OFF,1.2,0.1,0
54,3/25/2024 22:03,CCD,AMN,DAY  13,13,I,DW 239,0.9,Detection,Ramp,Auto,21.8,45,2,30,OFF,1.2,0.1,0
55,3/25/2024 22:03,CCD,AMN,DAY  13,13,I,DW 239,0.3,Detection,Ramp,Auto,8.33,45,2,30,OFF,1.2,0.1,0
56,3/25/2024 22:03,CCD,AMN,DAY  13,13,I,DW 239,0.2,Detection,Ramp,Auto,6.09,45,2,30,OFF,1.2,0.1,0
57,3/25/2024 22:03,CCD,AMN,DAY  13,13,I,DW 239,0.2,Detection,Ramp,Auto,6.09,45,2,30,OFF,1.2,0.1,0
58,3/25/2024 22:03,CCD,AMN,DAY  13,13,I,DW 239,0.2,Detection,Ramp,Auto,6.84,45,2,30,OFF,1.2,0.1,0
59,3/25/2024 22:04,CCD,AMN,DAY  13,13,I,DW 239,0.1,Detection,Ramp,Auto,3.09,45,2,30,OFF,1.2,0.1,0
60,3/25/2024 22:05,CCD,AMN,DAY  13,13,C,DW 239,0.8,Detection,Ramp,Auto,19.56,45,2,30,OFF,1.2,0.1,0
61,3/25/2024 22:05,CCD,AMN,DAY  13,13,C,DW 239,2.4,Detection,Ramp,Auto,45,45,2,30,OFF,1.2,0.1,0
62,3/25/2024 22:05,CCD,AMN,DAY  13,13,C,DW 239,1.2,Detection,Ramp,Auto,26.29,45,2,30,OFF,1.2,0.1,0
63,3/25/2024 22:05,CCD,AMN,DAY  13,13,C,DW 239,1.4,Detection,Ramp,Auto,32.28,45,2,30,OFF,1.2,0.1,0
64,3/25/2024 22:06,CCD,AMN,DAY  13,13,C,DW 239,1.3,Detection,Ramp,Auto,29.28,45,2,30,OFF,1.2,0.1,0
65,3/25/2024 22:06,CCD,AMN,DAY  13,13,C,DW 239,1.2,Detection,Ramp,Auto,27.04,45,2,30,OFF,1.2,0.1,0
66,3/25/2024 22:06,CCD,AMN,DAY  13,13,C,DW 239,2.9,Detection,Ramp,Auto,45,45,2,30,OFF,1.2,0.1,0
67,3/25/2024 22:06,CCD,AMN,DAY  13,13,C,DW 239,3.4,Detection,Ramp,Auto,45,45,2,30,OFF,1.2,0.1,0
68,3/25/2024 22:06,CCD,AMN,DAY  13,13,C,DW 239,4.2,Detection,Ramp,Auto,45,45,2,30,OFF,1.2,0.1,0
69,3/29/2024 15:11,CCD,AMN,PRE,0,C,DW 240,10.2,Screen Button,Ramp,Auto,45,45,2,30,OFF,1.2,0.1,0
70,3/29/2024 15:12,CCD,AMN,PRE,0,C,DW 240,7,Cutoff,Ramp,Auto,45,45,2,5,OFF,1.2,0.1,0
71,3/29/2024 15:12,CCD,AMN,PRE,0,C,DW 240,3.3,Detection,Ramp,Auto,45,45,2,5,OFF,1.2,0.1,0
72,3/29/2024 15:12,CCD,AMN,PRE,0,C,DW 240,4,Detection,Ramp,Auto,45,45,2,5,OFF,1.2,0.1,0
73,3/29/2024 15:13,CCD,AMN,PRE,0,C,DW 240,1.8,Detection,Ramp,Auto,42.01,45,2,5,OFF,1.2,0.1,0
74,3/29/2024 15:14,CCD,AMN,PRE,0,I,DW 240,7,Cutoff,Ramp,Auto,45,45,2,5,OFF,1.2,0.1,0
75,3/29/2024 15:14,CCD,AMN,PRE,0,I,DW 240,7,Cutoff,Ramp,Auto,45,45,2,5,OFF,1.2,0.1,0
76,3/29/2024 15:14,CCD,AMN,PRE,0,I,DW 240,7,Cutoff,Ramp,Auto,45,45,2,5,OFF,1.2,0.1,0
