Session,Date,Treatment,Protocol,Stage,dayspost,Trial,ID,Latency,Reason,Mode,Scoring,Force,TargetForce,RampDuration,CutoffTime,LegacyMode,TouchPause,TouchForce,TimeThreshold
1,2024-03-12 16:21:00,CCD,AMN,PRE,0,C,DW 239,0.9,Detection,Ramp,Auto,33.81,75,2,30,OFF,1.2,0.1,0
2,2024-03-12 16:22:00,CCD,AMN,PRE,0,C,DW 239,0.1,Detection,Ramp,Auto,5.09,75,2,30,OFF,1.2,0.1,0
3,2024-03-12 16:22:00,CCD,AMN,PRE,0,C,DW 239,0.8,Detection,Ramp,Auto,31.31,75,2,30,OFF,1.2,0.1,0
4,2024-03-12 16:22:00,CCD,AMN,PRE,0,I,DW 239,0.5,Detection,Ramp,Auto,21.32,75,2,30,OFF,1.2,0.1,0
5,2024-03-12 16:23:00,CCD,AMN,PRE,0,I,DW 239,2.6,Detection,Ramp,Auto,75.0,75,2,30,OFF,1.2,0.1,0
6,2024-03-12 16:23:00,CCD,AMN,PRE,0,I,DW 239,0.5,Detection,Ramp,Auto,21.32,75,2,30,OFF,1.2,0.1,0
7,2024-03-12 16:24:00,CCD,AMN,PRE,0,I,DW 239,0.8,Detection,Ramp,Auto,30.06,75,2,30,OFF,1.2,0.1,0
8,2024-03-15 16:46:00,CCD,AMN,POST,3,I,DW 239,0.3,Detection,Ramp,Auto,12.58,75,2,30,OFF,1.2,0.1,0
9,2024-03-15 16:46:00,CCD,AMN,POST,3,I,DW 239,0.2,Detection,Ramp,Auto,10.09,75,2,30,OFF,1.2,0.1,0
10,2024-03-15 16:46:00,CCD,AMN,POST,3,I,DW 239,0.2,Detection,Ramp,Auto,10.09,75,2,30,OFF,1.2,0.1,0
11,2024-03-15 16:46:00,CCD,AMN,POST,3,I,DW 239,0.2,Detection,Ramp,Auto,10.09,75,2,30,OFF,1.2,0.1,0
12,2024-03-15 16:47:00,CCD,AMN,POST,3,I,DW 239,0.1,Detection,Ramp,Auto,7.59,75,2,30,OFF,1.2,0.1,0
13,2024-03-15 16:47:00,CCD,AMN,POST,3,I,DW 239,0.2,Detection,Ramp,Auto,7.59,75,2,30,OFF,1.2,0.1,0
14,2024-03-15 16:47:00,CCD,AMN,POST,3,I,DW 239,0.2,Detection,Ramp,Auto,8.84,75,2,30,OFF,1.2,0.1,0
15,2024-03-15 16:47:00,CCD,AMN,POST,3,I,DW 239,0.2,Detection,Ramp,Auto,10.09,75,2,30,OFF,1.2,0.1,0
16,2024-03-15 16:49:00,CCD,AMN,POST,3,C,DW 239,1.0,Detection,Ramp,Auto,37.55,75,2,30,OFF,1.2,0.1,0
17,2024-03-15 16:49:00,CCD,AMN,POST,3,C,DW 239,1.4,Detection,Ramp,Auto,53.78,75,2,30,OFF,1.2,0.1,0
18,2024-03-15 16:50:00,CCD,AMN,POST,3,C,DW 239,18.0,Screen Button,Ramp,Auto,75.0,75,2,30,OFF,1.2,0.1,0
19,2024-03-15 16:50:00,CCD,AMN,POST,3,C,DW 239,0.2,Detection,Ramp,Auto,10.09,75,2,30,OFF,1.2,0.1,0
20,2024-03-15 16:50:00,CCD,AMN,POST,3,C,DW 239,1.1,Detection,Ramp,Auto,40.05,75,2,30,OFF,1.2,0.1,0
21,2024-03-15 16:51:00,CCD,AMN,POST,3,I,DW 239,0.3,Detection,Ramp,Auto,11.34,75,2,30,OFF,1.2,0.1,0
22,2024-03-15 16:51:00,CCD,AMN,POST,3,I,DW 239,0.2,Detection,Ramp,Auto,8.84,75,2,30,OFF,1.2,0.1,0
23,2024-03-15 16:51:00,CCD,AMN,POST,3,I,DW 239,0.4,Detection,Ramp,Auto,17.58,75,2,30,OFF,1.2,0.1,0
24,2024-03-15 16:51:00,CCD,AMN,POST,3,I,DW 239,0.5,Detection,Ramp,Auto,18.83,75,2,30,OFF,1.2,0.1,0
25,2024-03-15 16:52:00,CCD,AMN,POST,3,C,DW 239,1.2,Detection,Ramp,Auto,43.79,75,2,30,OFF,1.2,0.1,0
26,2024-03-15 16:53:00,CCD,AMN,POST,3,C,DW 239,0.9,Detection,Ramp,Auto,35.05,75,2,30,OFF,1.2,0.1,0
27,2024-03-15 16:53:00,CCD,AMN,POST,3,C,DW 239,0.7,Detection,Ramp,Auto,27.56,75,2,30,OFF,1.2,0.1,0
28,2024-03-15 16:53:00,CCD,AMN,POST,3,C,DW 239,0.8,Detection,Ramp,Auto,30.06,75,2,30,OFF,1.2,0.1,0
29,2024-03-15 16:53:00,CCD,AMN,POST,3,C,DW 239,0.7,Detection,Ramp,Auto,27.56,75,2,30,OFF,1.2,0.1,0
30,2024-03-15 16:53:00,CCD,AMN,POST,3,I,DW 239,0.4,Detection,Ramp,Auto,17.58,75,2,30,OFF,1.2,0.1,0
31,2024-03-15 16:54:00,CCD,AMN,POST,3,I,DW 239,0.3,Detection,Ramp,Auto,13.83,75,2,30,OFF,1.2,0.1,0
32,2024-03-15 16:54:00,CCD,AMN,POST,3,I,DW 239,0.3,Detection,Ramp,Auto,13.83,75,2,30,OFF,1.2,0.1,0
33,2024-03-15 16:55:00,CCD,AMN,POST,3,I,DW 239,0.3,Detection,Ramp,Auto,13.83,75,2,30,OFF,1.2,0.1,0
34,2024-03-15 16:57:00,CCD,AMN,POST,3,I,DW 239,0.4,Detection,Ramp,Auto,16.33,75,2,30,OFF,1.2,0.1,0
35,2024-03-15 16:57:00,CCD,AMN,POST,3,I,DW 239,0.3,Detection,Ramp,Auto,13.83,75,2,30,OFF,1.2,0.1,0
36,2024-03-19 19:33:00,CCD,AMN,POST,7,I,DW 239,0.9,Detection,Ramp,Auto,21.05,45,2,30,OFF,1.2,0.1,0
37,2024-03-19 19:33:00,CCD,AMN,POST,7,I,DW 239,0.9,Detection,Ramp,Auto,21.05,45,2,30,OFF,1.2,0.1,0
38,2024-03-19 19:37:00,CCD,AMN,POST,7,I,DW 239,0.8,Detection,Ramp,Auto,18.81,45,2,30,OFF,1.2,0.1,0
39,2024-03-19 19:37:00,CCD,AMN,POST,7,I,DW 239,0.7,Detection,Ramp,Auto,15.81,45,2,30,OFF,1.2,0.1,0
