Session,Date,Treatment,Protocol,Stage,Trial,ID,Latency,Reason,Mode,Scoring,Force,TargetForce,RampDuration,CutoffTime,LegacyMode,TouchPause,TouchForce,TimeThreshold,Inconsistent,Response,SurgeryDate,DayNumber
3137,2025-07-02 09:19:54,CCD,AMN,PRE,C,DW368,1.8,Detection,Ramp,Auto,19.2,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 09:19:54,0
3138,2025-07-02 09:20:12,CCD,AMN,PRE,C,DW368,5.1,Detection,Ramp,Auto,51.04,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 09:19:54,0
3139,2025-07-02 09:20:29,CCD,AMN,PRE,C,DW368,6.2,Detection,Ramp,Auto,60.0,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 09:19:54,0
3140,2025-07-02 09:20:39,CCD,AMN,PRE,C,DW368,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 09:19:54,0
3141,2025-07-02 09:20:47,CCD,AMN,PRE,C,DW368,5.3,Detection,Ramp,Auto,54.03,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 09:19:54,0
3142,2025-07-02 09:20:59,CCD,AMN,PRE,C,DW368,5.5,Detection,Ramp,Auto,55.36,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 09:19:54,0
3143,2025-07-02 09:21:14,CCD,AMN,PRE,C,DW368,5.6,Detection,Ramp,Auto,55.03,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 09:19:54,0
3144,2025-07-02 09:21:26,CCD,AMN,PRE,C,DW368,5.3,Detection,Ramp,Auto,53.03,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 09:19:54,0
3145,2025-07-02 09:21:38,CCD,AMN,PRE,C,DW368,3.2,Detection,Ramp,Auto,32.14,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 09:19:54,0
3146,2025-07-02 09:21:53,CCD,AMN,PRE,C,DW368,2.9,Detection,Ramp,Auto,29.49,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 09:19:54,0
3147,2025-07-02 09:22:00,CCD,AMN,PRE,C,DW368,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 09:19:54,0
