"","Session","Date","Treatment","Protocol","Stage","DayNumber","Trial","ID","Latency","Reason","Scoring","Force","DayNumber_z","DayNumber_z2"
"1",1,"2024-03-12 16:21:00","CCD","AMN","PRE",0,"C","DW 239",0.9,"Detection","Auto",33.81,-1.41745241967714,2.00917136204857
"2",2,"2024-03-12 16:22:00","CCD","AMN","PRE",0,"C","DW 239",0.1,"Detection","Auto",5.09,-1.41745241967714,2.00917136204857
"3",3,"2024-03-12 16:22:00","CCD","AMN","PRE",0,"C","DW 239",0.8,"Detection","Auto",31.31,-1.41745241967714,2.00917136204857
"4",4,"2024-03-12 16:22:00","CCD","AMN","PRE",0,"I","DW 239",0.5,"Detection","Auto",21.32,-1.41745241967714,2.00917136204857
"5",5,"2024-03-12 16:23:00","CCD","AMN","PRE",0,"I","DW 239",2.6,"Detection","Auto",75,-1.41745241967714,2.00917136204857
"6",6,"2024-03-12 16:23:00","CCD","AMN","PRE",0,"I","DW 239",0.5,"Detection","Auto",21.32,-1.41745241967714,2.00917136204857
"7",7,"2024-03-12 16:24:00","CCD","AMN","PRE",0,"I","DW 239",0.8,"Detection","Auto",30.06,-1.41745241967714,2.00917136204857
"8",8,"2024-03-15 16:46:00","CCD","AMN","POST",3,"I","DW 239",0.3,"Detection","Auto",12.58,-1.02071828907668,1.04186582565562
"9",9,"2024-03-15 16:46:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",10.09,-1.02071828907668,1.04186582565562
"10",10,"2024-03-15 16:46:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",10.09,-1.02071828907668,1.04186582565562
"11",11,"2024-03-15 16:46:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",10.09,-1.02071828907668,1.04186582565562
"12",12,"2024-03-15 16:47:00","CCD","AMN","POST",3,"I","DW 239",0.1,"Detection","Auto",7.59,-1.02071828907668,1.04186582565562
"13",13,"2024-03-15 16:47:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",7.59,-1.02071828907668,1.04186582565562
"14",14,"2024-03-15 16:47:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",8.84,-1.02071828907668,1.04186582565562
"15",15,"2024-03-15 16:47:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",10.09,-1.02071828907668,1.04186582565562
"16",16,"2024-03-15 16:49:00","CCD","AMN","POST",3,"C","DW 239",1,"Detection","Auto",37.55,-1.02071828907668,1.04186582565562
"17",17,"2024-03-15 16:49:00","CCD","AMN","POST",3,"C","DW 239",1.4,"Detection","Auto",53.78,-1.02071828907668,1.04186582565562
"18",18,"2024-03-15 16:50:00","CCD","AMN","POST",3,"C","DW 239",18,"Screen Button","Auto",75,-1.02071828907668,1.04186582565562
"19",19,"2024-03-15 16:50:00","CCD","AMN","POST",3,"C","DW 239",0.2,"Detection","Auto",10.09,-1.02071828907668,1.04186582565562
"20",20,"2024-03-15 16:50:00","CCD","AMN","POST",3,"C","DW 239",1.1,"Detection","Auto",40.05,-1.02071828907668,1.04186582565562
"21",21,"2024-03-15 16:51:00","CCD","AMN","POST",3,"I","DW 239",0.3,"Detection","Auto",11.34,-1.02071828907668,1.04186582565562
"22",22,"2024-03-15 16:51:00","CCD","AMN","POST",3,"I","DW 239",0.2,"Detection","Auto",8.84,-1.02071828907668,1.04186582565562
"23",23,"2024-03-15 16:51:00","CCD","AMN","POST",3,"I","DW 239",0.4,"Detection","Auto",17.58,-1.02071828907668,1.04186582565562
"24",24,"2024-03-15 16:51:00","CCD","AMN","POST",3,"I","DW 239",0.5,"Detection","Auto",18.83,-1.02071828907668,1.04186582565562
"25",25,"2024-03-15 16:52:00","CCD","AMN","POST",3,"C","DW 239",1.2,"Detection","Auto",43.79,-1.02071828907668,1.04186582565562
"26",26,"2024-03-15 16:53:00","CCD","AMN","POST",3,"C","DW 239",0.9,"Detection","Auto",35.05,-1.02071828907668,1.04186582565562
"27",27,"2024-03-15 16:53:00","CCD","AMN","POST",3,"C","DW 239",0.7,"Detection","Auto",27.56,-1.02071828907668,1.04186582565562
"28",28,"2024-03-15 16:53:00","CCD","AMN","POST",3,"C","DW 239",0.8,"Detection","Auto",30.06,-1.02071828907668,1.04186582565562
"29",29,"2024-03-15 16:53:00","CCD","AMN","POST",3,"C","DW 239",0.7,"Detection","Auto",27.56,-1.02071828907668,1.04186582565562
"30",30,"2024-03-15 16:53:00","CCD","AMN","POST",3,"I","DW 239",0.4,"Detection","Auto",17.58,-1.02071828907668,1.04186582565562
"31",31,"2024-03-15 16:54:00","CCD","AMN","POST",3,"I","DW 239",0.3,"Detection","Auto",13.83,-1.02071828907668,1.04186582565562
"32",32,"2024-03-15 16:54:00","CCD","AMN","POST",3,"I","DW 239",0.3,"Detection","Auto",13.83,-1.02071828907668,1.04186582565562
"33",33,"2024-03-15 16:55:00","CCD","AMN","POST",3,"I","DW 239",0.3,"Detection","Auto",13.83,-1.02071828907668,1.04186582565562
"34",34,"2024-03-15 16:57:00","CCD","AMN","POST",3,"I","DW 239",0.4,"Detection","Auto",16.33,-1.02071828907668,1.04186582565562
"35",35,"2024-03-15 16:57:00","CCD","AMN","POST",3,"I","DW 239",0.3,"Detection","Auto",13.83,-1.02071828907668,1.04186582565562
"36",36,"2024-03-19 19:33:00","CCD","AMN","POST",7,"I","DW 239",0.9,"Detection","Auto",21.05,-0.49173944827606,0.241807684990844
"37",37,"2024-03-19 19:33:00","CCD","AMN","POST",7,"I","DW 239",0.9,"Detection","Auto",21.05,-0.49173944827606,0.241807684990844
"38",38,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.8,"Detection","Auto",18.81,-0.49173944827606,0.241807684990844
"39",39,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.7,"Detection","Auto",15.81,-0.49173944827606,0.241807684990844
"40",40,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.9,"Detection","Auto",21.8,-0.49173944827606,0.241807684990844
"41",41,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.5,"Detection","Auto",12.07,-0.49173944827606,0.241807684990844
"42",42,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.5,"Detection","Auto",12.07,-0.49173944827606,0.241807684990844
"43",43,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.5,"Detection","Auto",12.07,-0.49173944827606,0.241807684990844
"44",44,"2024-03-19 19:37:00","CCD","AMN","POST",7,"I","DW 239",0.6,"Detection","Auto",13.57,-0.49173944827606,0.241807684990844
"45",45,"2024-03-19 19:38:00","CCD","AMN","POST",7,"I","DW 239",0.6,"Detection","Auto",14.32,-0.49173944827606,0.241807684990844
"46",46,"2024-03-19 19:38:00","CCD","AMN","POST",7,"I","DW 239",0.6,"Detection","Auto",15.07,-0.49173944827606,0.241807684990844
"47",47,"2024-03-19 19:39:00","CCD","AMN","POST",7,"C","DW 239",3.8,"Detection","Auto",45,-0.49173944827606,0.241807684990844
"48",48,"2024-03-19 19:40:00","CCD","AMN","POST",7,"C","DW 239",12.2,"Detection","Auto",45,-0.49173944827606,0.241807684990844
"49",49,"2024-03-19 19:40:00","CCD","AMN","POST",7,"C","DW 239",3.2,"Detection","Auto",45,-0.49173944827606,0.241807684990844
"50",50,"2024-03-19 19:41:00","CCD","AMN","POST",7,"C","DW 239",32,"Cutoff","Auto",45,-0.49173944827606,0.241807684990844
"51",51,"2024-03-19 19:41:00","CCD","AMN","POST",7,"C","DW 239",3.8,"Detection","Auto",45,-0.49173944827606,0.241807684990844
"52",52,"2024-03-19 19:42:00","CCD","AMN","POST",7,"C","DW 239",4.3,"Detection","Auto",45,-0.49173944827606,0.241807684990844
"53",53,"2024-03-25 22:02:00","CCD","AMN","POST",13,"I","DW 239",0.4,"Detection","Auto",9.08,0.301728812924864,0.0910402765490474
"54",54,"2024-03-25 22:03:00","CCD","AMN","POST",13,"I","DW 239",0.9,"Detection","Auto",21.8,0.301728812924864,0.0910402765490474
